IDs,length,Exptl.,resolution,R-factor,FreeRvalue
16PKA,415,XRAY,1.6,0.19,0.23
1A12A,413,XRAY,1.7,0.19,0.22
1A1XA,108,XRAY,2,0.21,0.25
1A2PA,110,XRAY,1.5,0.12,0.17
1A3AA,148,XRAY,1.8,0.19,0.24
1A4IA,301,XRAY,1.5,0.2,0.23
1A62A,130,XRAY,1.55,0.22,0.25
1A6MA,151,XRAY,1,0.13,0.16
1A73A,163,XRAY,1.8,0.21,0.3
1A76A,326,XRAY,2,0.21,0.28
1A7SA,225,XRAY,1.12,0.16,0.19
1A7TA,232,XRAY,1.85,0.15,1
1A8DA,452,XRAY,1.57,0.19,0.26
1A8LA,226,XRAY,1.9,0.19,0.22
1A8QA,274,XRAY,1.75,0.16,0.18
1A92A,50,XRAY,1.8,0.23,0.28
1A9XA,1073,XRAY,1.8,0.19,1
1A9XB,379,XRAY,1.8,0.19,1
1ABAA,87,XRAY,1.45,0.17,1
1ACFA,125,XRAY,2,0.18,1
1AE9A,179,XRAY,1.9,0.2,0.23
1AF7A,274,XRAY,2,0.2,0.28
1AFWA,393,XRAY,1.8,0.19,0.24
1AG9A,175,XRAY,1.8,0.2,0.25
1AGJA,242,XRAY,1.7,0.18,0.23
1AGQA,135,XRAY,1.9,0.2,0.23
1AH7A,245,XRAY,1.501,0.2,0.23
1AHOA,64,XRAY,0.96,0.16,1
1AJ8A,371,XRAY,1.9,0.19,0.23
1AJJA,37,XRAY,1.7,0.21,0.24
1AK0A,270,XRAY,1.8,0.21,0.23
1AKOA,268,XRAY,1.7,0.17,0.2
1AKYA,220,XRAY,1.63,0.19,1
1AL3A,324,XRAY,1.8,0.18,0.25
1ALUA,186,XRAY,1.9,0.21,0.28
1ALYA,146,XRAY,2,0.22,0.29
1AMTA,21,XRAY,1.5,0.15,1
1AMUA,563,XRAY,1.9,0.21,0.25
1AMXA,180,XRAY,2,0.2,0.25
1AOCA,175,XRAY,2,0.19,0.28
1AOEA,192,XRAY,1.6,0.15,1
1AOHA,147,XRAY,1.7,0.19,0.01
1AOLA,228,XRAY,2,0.22,0.26
1APYA,162,XRAY,2,0.17,0.22
1APYB,141,XRAY,2,0.17,0.22
1AQ0A,306,XRAY,2,0.17,0.21
1AQZA,149,XRAY,1.7,0.24,0.18
1AT0A,145,XRAY,1.9,0.22,0.28
1ATGA,231,XRAY,1.2,0.16,0.18
1ATZA,189,XRAY,1.8,0.17,0.24
1AUOA,218,XRAY,1.8,0.21,0.27
1AVWB,177,XRAY,1.75,0.19,0.21
1AYOA,130,XRAY,1.9,0.2,0.24
1AZOA,232,XRAY,1.7,0.2,0.26
1B0BA,142,XRAY,1.43,0.12,0.17
1B0NA,111,XRAY,1.9,0.2,0.24
1B0NB,57,XRAY,1.9,0.2,0.24
1B0UA,262,XRAY,1.5,0.18,0.21
1B0XA,94,XRAY,2,0.23,0.28
1B12A,248,XRAY,1.95,0.22,0.25
1B1CA,181,XRAY,1.93,0.2,0.24
1B25A,619,XRAY,1.85,0.17,0.22
1B2PA,119,XRAY,1.7,0.19,0.21
1B4FA,82,XRAY,1.95,0.23,0.27
1B5EA,246,XRAY,1.6,0.19,0.21
1B5FA,239,XRAY,1.72,0.21,0.26
1B5FB,87,XRAY,1.72,0.21,0.26
1B5PA,385,XRAY,1.8,0.19,0.24
1B5QA,472,XRAY,1.9,0.19,0.23
1B63A,333,XRAY,1.9,0.21,0.26
1B65A,375,XRAY,1.82,0.17,0.21
1B66A,140,XRAY,1.9,0.23,0.26
1B67A,68,XRAY,1.48,0.19,0.27
1B6GA,310,XRAY,1.15,0.1,0.14
1B8PA,329,XRAY,1.9,0.17,0.18
1B8ZA,90,XRAY,1.6,0.21,0.24
1B93A,152,XRAY,1.9,0.18,0.2
1B9HA,388,XRAY,2,0.22,0.25
1B9MA,265,XRAY,1.75,0.23,0.28
1B9OA,123,XRAY,1.15,0.12,0.16
1B9WA,95,XRAY,1.8,0.21,0.28
1BAZA,53,XRAY,1.9,0.21,0.27
1BB1A,36,XRAY,1.8,0.21,0.27
1BD3D,243,XRAY,1.93,0.19,1
1BD8A,156,XRAY,1.8,0.19,0.26
1BDOA,80,XRAY,1.8,0.19,1
1BEAA,127,XRAY,1.95,0.2,0.29
1BF2A,750,XRAY,2,0.16,0.21
1BF6A,291,XRAY,1.7,0.2,0.24
1BG2A,325,XRAY,1.8,0.22,0.29
1BG6A,359,XRAY,1.8,0.19,0.26
1BGCA,174,XRAY,1.7,0.21,1
1BGFA,124,XRAY,1.45,0.19,0.22
1BGVA,449,XRAY,1.9,0.17,1
1BHDA,118,XRAY,2,0.2,0.26
1BHEA,376,XRAY,1.9,0.2,0.24
1BHPA,45,XRAY,1.7,0.2,0.28
1BKBA,136,XRAY,1.75,0.21,0.24
1BKPA,278,XRAY,1.7,0.15,0.21
1BKRA,109,XRAY,1.1,0.14,0.19
1BLXA,326,XRAY,1.9,0.2,0.25
1BM8A,99,XRAY,1.71,0.2,0.26
1BM9A,122,XRAY,2,0.21,0.28
1BOLA,222,XRAY,2,0.18,1
1BQBA,301,XRAY,1.72,0.18,0.24
1BQUA,215,XRAY,2,0.22,0.26
1BRTA,277,XRAY,1.5,0.14,0.16
1BS0A,384,XRAY,1.65,0.18,0.21
1BSGA,266,XRAY,1.85,0.15,1
1BSMA,201,XRAY,1.35,0.2,0.24
1BTEA,97,XRAY,1.5,0.18,0.22
1BTKA,169,XRAY,1.6,0.23,0.28
1BTNA,106,XRAY,2,0.2,0.29
1BU8A,452,XRAY,1.8,0.2,0.24
1BUOA,121,XRAY,1.9,0.21,0.25
1BX7A,55,XRAY,1.2,0.18,0.23
1BXYA,60,XRAY,1.9,0.2,0.25
1BY2A,119,XRAY,2,0.19,0.22
1BYFA,125,XRAY,2,0.21,0.25
1BYIA,224,XRAY,0.97,0.12,1
